Sales Doc;Item;Material;Material entered;Matl Group;Description;ItCa;DlI;BilRl;Rj;Product hierarchy;UoM;Conversion factor;BUn;POitem;Customer Material Number;Usage;Overdel Tol;Underdel Tol;Dv;BusA;Prb;Net value;Curr;Order Quantity;Required deliv qty;Cumul confirmed qty;SU;Gross weight;Net weight;WUn;U;ComRl;DPrio;Plnt;ShPt;Route;Created on;Created by;Time;BOM key dt;Net price;per;UoM;Ret;AAG;OK;Cost;Value of invgross;Value w/o freight;Value of all bills;Freight cost;Subtotal 5;Bonus paid;Chngd on;Profit Ctr;MG 2;MG 3;MG 4;MG 5;Reasn;S;Credit price;Credit active;Exch rate;MPr;PrCat;Cost Est No;Costing Variant;Tax amount;Distance;Dis;Order Reason;Supplying plant;Minimum Quantity;Maximum Quantity;Max load size;Min load size;First Load
3405005;210;000000000038504951;000000000069925284;031404;boon rabbit with took ill numbers;ob06;;;;384071289184;KG;1;KG;000210;;B0B;5;5;10;2869;100;114.936,69;GBP;291,800;291,800;291,800;KG;0,292;0,292;TO;;B;3;2869;2869;GB2234;2128-03-13;Cote.Joseph;01:00:00;;169,52;1;KG;;13;;35588.88;8.028,84;4.391,08;6,91;114.936,69;26.450,82;13.903,31;2242-03-28;0604864191;;;;B40;ZGB1;E;89,43;X;1;;;103026905;PPC4;22.987,34;22,698;MI;01;;16,407;19,124;4,557;0,596;2128-03-18
3405006;220;000000000038504951;000000000069925284;031404;boon rabbit with took ill numbers;ob06;;;;384071289184;KG;1;KG;000220;;B0B;-4;-4;0;4848;70;45,84;US;396,300;396,300;396,300;KG;0,396;0,396;TO;X;;3;4848;4848;GB4364;2128-01-09;Rush.Kristina;01:00:00;;36,41;1;KG;;61;;45.84;45,84;45,84;6,92;45,84;35.465,73;13.417,37;2241-12-13;0623147794;;;;B64;;E;101,53;X;1;;N;104273994;PPC4;9,17;1,304;MI;01;;17,812;17,251;5,970;-0,160;2128-01-13
3405006;230;000000000038504951;000000000069925284;031404;boon rabbit with took ill numbers;ob06;;;;332923694652;MIN;1;MIN;000230;;B0B;0;0;0;4848;70;45,84;US;466,200;466,200;466,200;MIN;0,466;0,466;KG;X;;3;4848;4848;GB4364;2127-12-23;Rush.Kristina;01:00:00;;8,02;60;MIN;;84;;45.84;45,84;45,84;6,93;45,84;28.599,88;13.499,38;2241-11-28;0374717676;;;;B04;;;140,38;X;1;A;;119993359;PPC4;9,17;4,296;KM;02;;22,802;19,385;5,699;0,047;2127-12-23
3405006;240;000000000038504951;000000000069925284;031404;boon rabbit with took ill numbers;ob06;;C;ac;818899125005;KG;1;KG;000240;;B0B;-5;-5;10;1381;70;45,84;EUR;389,800;389,800;389,800;KG;0,390;0,390;TO;X;B;3;1381;1381;GB7815;2128-01-20;Cannon.Steven;01:00:00;;30,63;1;KG;;10;;45.84;45,84;45,84;6,88;45,84;32.454,28;14.379,90;2242-02-24;0451115768;;B00;;B59;;;76,70;X;1;A;;108201558;PPC4;9,17;10,030;MI;03;;27,350;12,194;7,330;0,998;2128-01-21
3405006;250;000000000038504951;000000000069925284;031404;boon rabbit with took ill numbers;ob06;;;;552757810274;KG;1;KG;000250;;B0B;-9;-9;60;1381;70;45,84;US;388,800;388,800;388,800;KG;0,389;0,389;TO;;;3;1381;1381;GB5588;2128-04-01;Wilkerson.Donna;01:00:00;;43,17;1;KG;;15;;45.84;45,84;45,84;6,93;45,84;42.380,28;15.166,49;2242-02-20;0451115768;B13;;;B77;;;-14,25;X;1;;;107792602;PPC4;9,17;-2,565;MI;01;;12,158;17,327;6,745;0,186;2128-04-12
3405006;260;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;C;;552757810274;KG;1;KG;000260;;B0B;0;0;10;1381;70;45,84;US;460,900;460,900;460,900;KG;0,461;0,461;TO;X;;3;1381;1381;GB2234;2128-02-01;Murphy.Harold;01:00:00;;24,33;1;KG;;17;;45.84;45,84;45,84;6,89;45,84;25.488,02;14.495,23;2242-02-07;0998328941;B13;;;B68;;;252,81;X;1;A;;111761722;PPC4;9,17;17,976;KM;01;;16,322;12,615;8,081;0,207;2128-02-09
3405006;270;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;;;214615654143;MIN;1;MIN;000270;;B0B;6;6;10;4079;70;45,84;GBP;343,700;343,700;343,700;MIN;0,344;0,344;KG;;;3;4079;4079;GB6995;2128-03-09;Murphy.Harold;01:00:00;;15,34;60;MIN;;17;;45.84;45,84;45,84;6,85;45,84;38.799,84;14.148,11;2242-03-20;0998328941;B13;;;B68;;;101,33;X;1;;;104975703;PPC4;9,17;8,654;MI;02;;26,519;19,705;7,352;0,143;2128-03-11
3405006;280;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;;;406885028411;TO;1;TO;000280;;B0B;-2;-2;20;7420;70;45,84;EUR;427,100;427,100;427,100;TO;427,100;427,100;TO;;;3;7420;7420;GB6995;2127-12-25;Cote.Joseph;01:00:00;;164,15;1;TO;;17;;45.84;45,84;45,84;6,93;45,84;20.836,49;15.132,23;2241-11-22;0255962953;;;;B55;;;256,85;X;1;A;D;121410707;PPC4;9,17;9,787;MI;02;;27,287;14,508;6,902;0,503;2127-12-27
3405006;290;000000000059835141;000000000074212066;055359;on it good numbers sidekick while;yp17;;A;;330466772787;KG;1;KG;000290;had to the magnetic assert came;B0B;-1;-1;50;4130;70;45,84;EUR;232,000;232,000;232,000;KG;0,232;0,232;TO;;B;3;4130;4130;GB9944;2128-03-17;Cote.Joseph;01:00:00;;-49,90;1;KG;;48;;45.84;45,84;45,84;6,89;45,84;30.346,30;13.795,34;2242-04-01;0708631268;B24;;;B55;;;181,99;X;1;;D;106383445;PPC4;9,17;26,812;MI;03;;21,789;8,174;4,501;0,329;2128-03-17
3405006;300;000000000059835141;000000000074212066;055359;on it good numbers sidekick while;yp17;;C;;330466772787;TO;1;TO;000300;had to the magnetic assert came;B0B;-7;-7;0;4659;70;45,84;EUR;430,100;430,100;430,100;TO;430.100,000;430.100,000;KG;X;;3;4659;4659;GB0054;2128-12-31;Cote.Joseph;01:00:00;;119,85;1;TO;;48;;45.84;45,84;45,84;6,99;45,84;27.912,70;13.546,44;2241-12-24;0156707857;;;;B59;;;48,07;X;1;A;;121162230;PPC4;9,17;0,075;MI;03;;19,691;25,236;9,360;0,607;2128-01-03
3405006;310;000000000076443110;000000000073623171;040459;wicket light in end out as much;zf64;X;;;330466772787;TO;1;TO;000310;else visions came assert white;B0B;6;6;40;5624;70;45,84;US;389,000;389,000;389,000;TO;389,000;389,000;TO;X;;3;5624;5624;GB5596;2128-02-08;Cote.Joseph;01:00:00;;-38,80;1;TO;;17;;45.84;45,84;45,84;6,97;45,84;33.115,83;13.378,92;2241-12-20;0156707857;;B21;;B12;;;-45,41;X;1;;;104824313;PPC4;9,17;8,523;MI;03;;19,598;16,441;9,211;0,491;2128-02-13
3405006;320;000000000066737727;000000000061955676;031016;this do asked else island monster;tm33;;;;330466772787;TO;1;TO;000320;headphones took hatch with the;B0B;3;3;50;5678;70;45,84;GBP;334,000;334,000;334,000;TO;334,000;334,000;TO;X;;3;5678;5678;GB4364;2128-02-10;Cote.Joseph;01:00:00;;36,56;1;TO;;84;;45.84;45,84;45,84;6,90;45,84;24.595,71;14.466,25;2242-03-26;0708631268;;;;B00;;;31,19;X;1;;;103682716;PPC4;9,17;9,597;KM;03;;10,500;29,507;8,129;0,185;2128-02-16
3405006;330;000000000011884370;000000000072358060;087150;it while hold wicket crash red;pc46;;;;330466772787;TO;1;TO;000330;died came are asked are they it;B0B;5;5;50;1256;70;45,84;GBP;302,600;302,600;302,600;TO;302.600,000;302.600,000;KG;;;3;1256;1256;GB6995;2128-04-05;Cote.Joseph;01:00:00;;55,98;1;TO;;48;;45.84;45,84;45,84;6,87;45,84;33.730,36;15.167,50;2242-03-27;0156707857;;;;B00;;;-24,84;X;1;A;;119125141;PPC4;9,17;17,760;KM;01;;6,130;26,434;7,290;0,535;2128-04-05
3405007;340;000000000011884370;000000000072358060;087150;it while hold wicket crash red;pc46;;C;;330466772787;MIN;1;MIN;000340;died came are asked are they it;B0B;-5;-5;50;9247;100;116.504,70;US;315,200;315,200;315,200;MIN;0,000;0,000;TO;;B;3;9247;9247;GB9530;2128-02-05;Cote.Joseph;01:00:00;;40,76;60;MIN;;48;;26007.05;6.730,18;3.428,68;6,89;116.504,70;31.381,76;14.407,49;2242-02-12;0156707857;;;;B50;;;184,51;X;1;A;;0;;23.300,94;16,664;KM;02;;16,893;24,423;9,579;0,281;2128-02-05
3405007;350;000000000021155450;;088012;in leader it visions of others;hc89;;;;330466772787;M3;1;M3;000350;enter lots warp in demanded always;B0B;2;2;10;9060;100;116.504,70;EUR;387,100;387,100;387,100;M3;0,387;0,387;KG;;;3;9060;9060;GB8831;2128-12-30;Snow.Leslie;01:00:00;;-67,66;1;M3;;48;;31427.55;8.027,61;4.476,72;6,91;116.504,70;32.164,54;15.415,79;2241-12-30;0779976370;;;;B50;;E;206,30;X;1;A;R;120177026;PPC4;23.300,94;-2,826;MI;02;;19,640;30,372;8,171;0,294;2128-12-30
3405007;360;000000000021155450;;088012;in leader it visions of others;hc89;;A;;058202902905;M3;1;M3;000360;enter lots warp in demanded always;B0B;2;2;20;9060;100;116.504,70;GBP;396,600;396,600;396,600;M3;0,397;0,397;KG;;;3;9060;9060;GB9944;2128-01-14;Snow.Leslie;01:00:00;;7,41;1;M3;;83;;32699.14;7.092,46;4.699,51;6,91;116.504,70;37.509,54;14.987,73;2242-03-27;0079378463;;;;B55;;;60,64;X;1;A;;108965559;PPC4;23.300,94;6,877;KM;01;;15,902;29,658;6,317;0,465;2128-01-14
3405007;370;000000000021155450;;088012;in leader it visions of others;hc89;;A;;058202902905;MIN;1;MIN;000370;enter lots warp in demanded always;B0B;0;0;70;7757;100;116.504,70;US;326,800;326,800;326,800;MIN;0,000;0,000;TO;X;;3;7757;7757;GB9272;2128-01-25;Snow.Leslie;01:00:00;;54,76;60;MIN;;17;;27317.94;5.133,54;4.148,08;6,94;116.504,70;27.881,16;11.917,96;2242-02-02;0079378463;B92;;;B04;;;148,55;X;1;;;115296645;PPC4;23.300,94;1,788;MI;01;;24,206;21,031;5,802;0,580;2128-02-01
3405007;380;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;C;;205455796653;TO;1;TO;000380;;B0B;-1;-1;30;3989;100;116.504,70;GBP;274,500;274,500;274,500;TO;274,500;274,500;TO;;B;3;3989;3989;GB8583;2128-02-04;Chase.Shane;01:00:00;;21,34;1;TO;;97;;34305.52;7.306,92;3.447,82;6,92;116.504,70;30.276,06;14.176,07;2241-12-23;0642120006;B92;;;B35;;;192,90;X;1;;;0;;23.300,94;5,224;KM;02;;16,774;30,640;9,639;0,460;2128-02-09
3405007;390;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;A;;349794109476;MIN;1;MIN;000390;;B0B;6;6;60;8799;100;116.504,70;GBP;333,100;333,100;333,100;MIN;0,000;0,000;TO;X;;3;8799;8799;GB0263;2128-01-30;Chase.Shane;01:00:00;;42,02;60;MIN;;97;;34922.99;6.797,17;4.285,39;6,92;116.504,70;28.712,66;14.068,85;2242-01-12;0642120006;B92;;;B15;;;104,04;X;1;A;;112019296;PPC4;23.300,94;11,838;MI;03;;10,231;32,578;2,207;0,400;2128-02-03
3405007;400;000000000045524827;000000000062887682;027959;people always numbers headphones;mc54;;;;527932973260;MIN;1;MIN;000400;;B0B;4;4;40;6772;100;116.504,70;US;306,900;306,900;306,900;MIN;0,000;0,000;TO;X;;3;6772;6772;GB0346;2128-02-14;Chase.Shane;01:00:00;;22,88;60;MIN;;97;;23479.73;7.592,26;2.356,58;6,91;116.504,70;24.043,31;14.600,73;2242-02-27;0642120006;B92;;;B64;;;-87,80;X;1;A;V;0;;23.300,94;6,362;KM;03;;16,613;16,372;8,675;0,538;2128-02-15
3405007;410;000000000015163120;000000000071137878;069518;sill ship to magnetic hold with;fg49;;A;;527932973260;TO;1;TO;000410;who warp open captain died discovered;B0B;3;3;50;7579;100;116.504,70;GBP;333,000;333,000;333,000;TO;333,000;333,000;TO;X;;3;7579;7579;GB0346;2127-12-14;Chase.Shane;01:00:00;;69,28;1;TO;;83;;20824.58;6.343,05;3.964,82;6,92;116.504,70;28.066,93;13.848,33;2242-02-05;0208025476;B40;;;B12;;;-18,40;X;1;A;;0;;23.300,94;-2,567;KM;03;;24,043;18,982;5,192;0,464;2127-12-19
3405007;420;000000000056094238;000000000068349350;058193;hid what headphones is trying suspense;pw15;;A;;527932973260;MIN;1;MIN;000420;assert died secretly came smoke;B0B;3;3;50;5361;100;116.504,70;EUR;381,300;381,300;381,300;MIN;0,381;0,381;KG;X;;3;5361;5361;GB9272;2128-01-29;Chase.Shane;01:00:00;;215,24;60;MIN;;12;;33818.5;7.617,31;4.141,41;6,92;116.504,70;28.984,53;13.692,92;2241-12-13;0208025476;;B80;B41;B12;;;-3,16;X;1;;;112557103;PPC4;23.300,94;2,947;MI;01;;22,409;21,339;9,912;-0,034;2128-01-29
3405007;430;000000000048226755;000000000072373826;034399;to open ending white numbers something;qm77;;;;245285136989;MIN;1;MIN;000430;end who will had as ghost keys;B0B;0;0;0;5361;100;116.504,70;EUR;384,700;384,700;384,700;MIN;0,000;0,000;TO;;;3;5361;5361;GB7477;2127-12-11;Chase.Shane;01:00:00;;34,88;60;MIN;;12;;28350.94;7.259,39;3.701,10;6,90;116.504,70;36.509,82;12.814,27;2241-11-07;0561226791;;;B41;B12;;;157,70;X;1;;X;0;;23.300,94;12,492;MI;03;;21,252;21,658;5,157;0,259;2127-12-12
3405007;440;000000000048226755;000000000072373826;034399;to open ending white numbers something;qm77;;;;245285136989;MIN;1;MIN;000440;end who will had as ghost keys;B0B;3;3;40;7037;100;116.504,70;EUR;339,200;339,200;339,200;MIN;0,339;0,339;KG;;;3;7037;7037;GB0530;2128-01-28;Chase.Shane;01:00:00;;102,41;60;MIN;;12;;32758.34;6.754,12;3.226,41;6,97;116.504,70;32.806,73;13.977,68;2242-01-03;0484565057;;B54;B41;B50;;;60,84;X;1;A;X;112425462;PPC4;23.300,94;10,485;KM;01;;21,816;22,349;-1,066;0,294;2128-01-28
3405008;450;000000000048226755;000000000072373826;034399;to open ending white numbers something;qm77;;;;716175210103;MIN;1;MIN;000450;end who will had as ghost keys;B0B;0;0;10;7037;100;91.581,79;US;529,000;529,000;529,000;MIN;0,001;0,001;TO;;B;3;7037;7037;GB0346;2127-12-17;Chase.Shane;01:00:00;;263,57;60;MIN;;17;;31392.25;7.240,21;4.093,78;6,95;91.581,79;34.586,55;13.697,21;2241-11-02;0374717676;B24;B54;B41;B50;;;-1,28;X;1;;X;0;;18.316,36;15,253;MI;03;;16,624;14,483;8,791;0,328;2127-12-19
3405008;460;000000000048226755;000000000072373826;034399;to open ending white numbers something;qm77;;A;;716175210103;KG;1;KG;000460;end who will had as ghost keys;B0B;-2;-2;80;7037;100;91.581,79;EUR;420,100;420,100;420,100;KG;0,420;0,420;TO;X;;3;7037;7037;GB9530;2128-02-19;Chase.Shane;01:00:00;;6,28;1;KG;;64;;26547.68;5.402,70;3.570,05;6,99;91.581,79;40.231,75;14.473,98;2242-02-08;0374717676;B24;B54;B41;B50;;;140,82;X;1;;D;113822525;PPC4;18.316,36;7,432;MI;01;;3,508;21,239;8,109;0,347;2128-02-23
