DOC_NUMBER;QUOT_FROM;DOC_TYPE;ORD_REASON;QUOT_TO;COMP_CODE;BILL_BLOCK;LOC_CURRCY;SOLD_TO;RATE_TYPE;GN_CUSTOM;CUST_GRP1;CUST_GRP2;CUST_GRP3;CUST_GRP4;CUST_GRP5;DEL_BLOCK;STAT_CURR;DOC_CATEG;DOC_CATEGR;SALES_OFF;SALES_GRP;SALESORG;DISTR_CHAN;CREATEDON;DOC_CURRCY;SALESEMPLY;DIV_HEAD;REQ_DATE;FISCVARNT;ORDERS
3405025;2013-10-28;YC01;B01;9999-12-31;BE10;G0;KZT;1037696120;;STOCKTON-SERVICES;;;;;;;KZT;H;;;;RO60;1;2013-11-05;;;30;;K4;1
3405026;2013-10-28;ZSI;B02;9999-12-31;NL11;G0;KZT;1037696120;;LOCUSTGROVE-REALTY;;;;;;ZG;GBP;L;;;29;RO60;1;2013-11-05;;;30;;K4;4
3405027;2013-10-28;ZPLZ;ZV6;9999-12-31;NL11;G0;KZT;1037696120;;SYLVESTER-ACCOUNTING;103;;;;;;KZT;C;;DE15;26;GB30;1;2013-02-28;;;50;;K4;7
3405028;2013-02-23;ZPLZ;ZV6;9999-12-31;NL11;G0;KZT;1037696120;M;BLAKELY-MOTORSERVICES;;;;;;;KZT;H;;PLO2;;RU11;1;2013-02-28;;;50;;K4;8
3405029;2013-02-23;ZPLZ;ZV6;9999-12-31;SE10;G0;KZT;1037696120;M;BACONTON-REALTY;;;;;;ZG;KZT;L;;PLAL;26;RU11;1;2013-02-28;;;50;;K4;7
3405030;2013-02-23;ZPLZ;ZV6;9999-12-31;SE10;G0;KZT;1037696120;;HOMELAND-BAKERY;;;;;;ZG;KZT;C;;;24;RU11;1;2013-02-28;;;50;;K4;6
3405031;2013-02-23;ZPLZ;ZV6;9999-12-31;SE10;G0;KZT;1037696120;;ALAPAHA-MANUFACTURING;;;;;;;KZT;L;;;27;RU11;1;2013-02-28;;;50;;K4;4
3405032;2013-02-23;YP01;ZV6;9999-12-31;SE10;G0;PLN;1037696120;M;DALLAS-LANDSCAPING;;;;;;;KZT;H;;GB03;28;RU11;1;2013-02-28;;;50;;K4;4
3405033;2013-02-23;YO01;ZV4;9999-12-31;RU10;G0;PLN;1037696120;;FOLKSTON-MOTORSERVICES;106;;;;;;PLN;C;;PLLO;21;RU11;1;2013-02-28;;;70;;K4;4
3405034;2013-02-23;YO01;ZV4;9999-12-31;BE10;G0;PLN;1037696120;;STERLING-INSURANCE;102;;;;;ZG;UAH;B;;PLOF;;RU11;1;2013-02-28;;;60;;K4;5
3405035;2013-02-23;ZDMS;ZV4;9999-12-31;BE10;G0;PLN;1037696120;;WINOKUR-DEVELOPMENT;;;;;;ZG;PLN;G;;DE09;;RU11;1;2013-02-28;;;60;;K4;1
3405036;2013-02-23;YO13;ZV4;9999-12-31;GE10;G0;PLN;1037696120;;OUSLEY-GYMNASIUM;;;;;;;PLN;H;;PLLB;;RU11;1;2013-02-28;;;60;;K4;7
3405037;2013-02-23;ZWES;ZV4;9999-12-31;GE10;G0;PLN;1037696120;;DANIELSVILLE-SOFTWARE;;2;;;;;PLN;B;;PLD7;;RU11;1;2013-02-28;;;60;;K4;4
3405038;2013-02-23;ZWES;ZV4;9999-12-31;GE10;G0;RON;1037696120;KZ;KELLER-REALTY;;;;;;ZG;PLN;C;;;210;RU11;1;2013-02-28;;;60;;K4;1
3405039;2013-02-14;YO12;B02;9999-12-31;NL11;G0;RON;1037696120;;COUNTRYCLUBESTATE-FURNISHINGS;106;;ROZ;;;;RUB;G;;DE04;23;RU11;1;2013-02-28;;;60;;K4;4
3405040;2013-02-14;ZSIS;ZV7;9999-12-31;NL11;G0;RON;1037696120;M;OFFERMAN-LANDSCAPING;;;;;;;RON;C;;PLDA;;RU11;1;2013-02-28;;;60;;K4;1
3405041;2013-02-14;ZSIS;B02;9999-12-31;RU11;G0;RON;1037696120;KZ;COHUTTA-SERVICES;102;;;;;;RON;C;;PLLU;210;10;1;2013-02-28;;;60;;K4;3
3405042;2013-02-14;ZSE2;B02;9999-12-31;RO60;G0;RON;1037696120;;BLOOMINGDALE-GYMNASIUM;;;;;;;RON;C;;DE03;28;10;1;2013-02-28;;;60;;K4;3
3405043;2013-02-14;ZRO1;ZV4;9999-12-31;NL11;G0;RON;1037696120;KZ;BUFORD-SIGNS;;;;;;;RON;L;;PLH4;20;10;1;2013-02-28;;;60;;K4;1
3405044;2013-10-27;ZRO1;ZV4;9999-12-31;GB10;G0;RON;1037696120;;EGYPT-INDUSTRIES;;;;;;;RON;L;;DE01;22;10;1;2013-02-28;;;50;;K4;1
3405045;2013-10-27;ZRO1;ZV6;9999-12-31;GB10;G0;RON;1037696120;;WOODBINE-GYMNASIUM;;;;;;;RON;G;;;;10;1;2013-02-28;;;50;;K4;7
3405046;2013-01-06;YI04;ZV6;9999-12-31;GB10;G0;RON;1037696120;;HOLT-PROSERVICES;;;;;;;RON;B;;;28;RU11;1;2013-02-28;;;50;;K4;8
3405047;2013-05-30;YI04;ZV6;9999-12-31;GB10;G0;RON;1037696120;;JASPER-MOTORSERVICES;;;;;;;RON;C;;PLF0;211;10;1;2013-02-28;;;30;;K4;2
3405048;2013-05-30;ZSE2;ZV6;9999-12-31;140;G0;RON;1037696120;;ALAMO-INDUSTRIES;;;;;;;RON;G;;;;10;1;2013-01-20;;;30;;K4;7
3405049;2013-05-30;ZSE2;ZV6;9999-12-31;140;G0;RON;1037696120;;CLEVELAND-SIGNS;;;;;;;RON;B;;PLP4;;10;1;2013-01-20;;;20;;K4;2
3405050;2013-05-30;YO11;ZV6;9999-12-31;140;G0;GEL;1079985797;;GARFIELD-STUDIOS;;;;;;;RON;L;;PLPA;;10;1;2013-01-20;;;70;;K4;5
3405051;2013-05-30;ZSIS;ZV7;9999-12-31;140;G0;GEL;1079985797;;MYSTIC-DEVELOPMENT;;;;;;;GEL;L;;;;10;1;2013-01-20;;;70;;K4;8
3405052;2013-05-30;ZSIS;ZV7;9999-12-31;RU11;G0;GEL;1077787137;;BUENAVISTA-ACCOUNTING;102;2;;;;;SEK;C;;PLDA;28;10;1;2013-01-20;;;70;;K4;3
3405053;2013-05-30;ZSIS;ZV7;9999-12-31;RU11;G0;GEL;1039803746;;ATHENS-BAKERY;103;2;;;;;GEL;C;;DE30;27;GB30;1;2013-01-20;;;70;;K4;8
3405054;2013-05-30;ZSIS;ZV6;9999-12-31;RU11;G0;GEL;1039803746;;WATERLOO-DEVELOPMENT;102;;;;;ZG;GEL;B;;;;GB30;1;2013-01-29;;;70;;K4;2
3405055;2013-04-06;YQ02;ZV6;9999-12-31;RO30;G0;GEL;1039803746;KZ;COX-GYMNASIUM;;;;;;;GEL;B;;PLL1;27;GB30;1;2013-01-29;;;70;;K4;5
3405056;2013-04-06;YO13;ZV6;9999-12-31;RO60;G0;GEL;1068826894;KZ;WAVERLY-FURNISHINGS;;;;;;;GEL;C;;GB03;210;GB30;1;2013-01-15;;;70;;K4;5
3405057;2013-04-06;ZPL3;ZV6;9999-12-31;RO60;G0;GEL;1068826894;;ELLENTON-INDUSTRIES;;;CYY;;;;GEL;B;;GB01;28;GB30;1;2013-07-31;;;70;;K4;4
3405058;2013-04-06;ZPL3;B01;9999-12-31;140;G0;GEL;1068826894;;KINGSBAYBASE-CAFE;;;;;;;GEL;G;;PLOR;23;GB30;1;2013-07-31;;;70;;K4;6
3405059;2013-04-06;ZPL3;B01;9999-12-31;GE10;G0;GEL;1068826894;;VIENNA-FURNISHINGS;103;;;;;;GEL;L;;;22;GB30;1;2013-03-24;;;70;;K4;1
3405060;2013-03-25;ZWES;B01;9999-12-31;BE10;G0;GEL;1076004674;;DUBLIN-SOFTWARE;;;;;;;GEL;B;;;25;GB30;1;2013-03-24;;;70;;K4;6
3405061;2013-03-25;ZWES;B02;9999-12-31;BE10;G0;GEL;1076004674;;LEXINGTON-TRAVEL;;;;;;;GEL;L;;;;GB30;1;2013-03-24;;;70;;K4;2
3405062;2013-03-25;ZWES;B02;9999-12-31;UA10;G0;RUB;1076004674;;RIDGEVILLE-ENGINEERING;;;;;;ZG;GEL;C;;;211;PL10;1;2013-03-24;;;70;;K4;6
3405063;2013-03-09;ZWES;B01;9999-12-31;UA10;G0;GEL;1076004674;;WHITMARSHISLAND-INSURANCE;;3;;;;;RUB;L;;PLL1;26;PL10;1;2013-03-24;;;70;;K4;3
3405064;2013-03-09;ZWES;B01;9999-12-31;10;G0;GEL;1068399743;;HOGANSVILLE-STUDIOS;102;;CYY;;;ZG;GEL;L;;;;BE10;1;2013-03-24;;;80;;K4;8
3405065;2013-03-09;ZWES;B01;9999-12-31;SE10;G0;GEL;1041083984;;MORROW-MANUFACTURING;;;;;;;GEL;C;;PLPA;25;GE10;1;2013-10-05;;;80;;K4;4
3405066;2013-03-09;ZWES;B01;9999-12-31;SE10;G0;GEL;1083506479;;APPLING-OFFICESUPPLIES;;;;;;;GEL;H;;PLLK;;140;1;2013-11-27;;;80;;K4;5
3405067;2013-03-09;ZWES;B01;9999-12-31;SE10;G0;GEL;1083506479;M;HAZLEHURST-DEVELOPMENT;;3;;;;;GEL;G;;;28;140;1;2013-07-25;;;80;;K4;8
3405068;2013-03-19;ZSIS;ZV4;9999-12-31;10;G0;GEL;1083506479;;MOUNTVERNON-REALTY;;;RO3;;;;GEL;G;;GB10;;140;1;2013-10-30;;;80;;K4;6
3405069;2013-01-23;ZSIS;ZV4;9999-12-31;10;G0;GEL;1083506479;;OUSLEY-GYMNASIUM;;;ROZ;;;;GEL;B;;;;140;1;2013-10-30;;;40;;K4;6
3405070;2013-01-23;ZSIS;ZV6;9999-12-31;GE10;G0;GEL;1083506479;;BLACKSHEAR-MANUFACTURING;103;;;;;;GEL;C;;;;140;1;2013-10-30;;;40;;K4;6
3405071;2013-01-23;ZWEN;ZV6;9999-12-31;GB10;G0;GEL;1083506479;;STERLING-SIGNS;;;;;;;GEL;H;;PLA9;;140;1;2013-10-30;;;20;;K4;7
3405072;2013-01-23;ZWEN;B02;9999-12-31;GB10;G0;GEL;1083506479;;LYONS-BAKERY;;;;;;;GEL;G;;PLA6;211;140;1;2013-10-30;;;20;;K4;2
3405073;2013-01-23;ZWEN;B02;9999-12-31;PL10;G0;EUR;1083506479;;UNADILLA-OFFICESUPPLIES;;3;;;;;GEL;H;;PLAP;;140;1;2013-10-30;;;20;;K4;5
3405074;2013-07-15;ZWEN;B02;9999-12-31;RU11;G0;EUR;1083506479;;BARWICK-CAFE;;;;;;;EUR;L;;;;140;1;2013-10-30;;;20;;K4;1
3405075;2013-07-15;ZWEN;B02;9999-12-31;GB30;G0;EUR;1080560618;;SUGARHILL-MANUFACTURING;;;;;;;EUR;C;;;;140;1;2013-10-30;;;20;;K4;5
3405076;2013-09-27;ZWEN;B02;9999-12-31;GB30;G0;EUR;1080560618;;RIVERSIDE-REALTY;;3;;;;;SEK;L;;;;140;1;2013-10-30;;;50;;K4;6
3405077;2013-09-27;ZPL1;B02;9999-12-31;RU11;G0;EUR;1080560618;;WARRENTON-ACCOUNTING;;;;;;;EUR;G;;;;140;1;2013-10-30;;;70;;K4;4
3405078;2013-09-27;ZPL1;ZV6;9999-12-31;UA10;G0;EUR;1036679891;;HEPZIBAH-LANDSCAPING;;;;;;;RUB;C;;PLL0;;140;1;2013-05-06;;;70;;K4;7
3405079;2013-01-19;ZSE2;ZV6;9999-12-31;UA10;G0;EUR;1036679891;M;LITHONIA-STUDIOS;106;;;;;ZG;EUR;G;;PLOU;;140;1;2013-05-06;;;70;;K4;6
3405080;2013-01-19;ZSE2;ZV6;9999-12-31;RO30;G0;EUR;1054360446;KZ;EDISON-SERVICES;;;;;;;EUR;C;;PLLB;29;140;1;2013-05-06;;;70;;K4;4
3405081;2013-01-19;YO01;ZV6;9999-12-31;KZ10;G0;EUR;1054360446;;WAVERLY-MOTORSERVICES;;;;;;;EUR;C;;PLLO;;140;1;2013-05-06;;;70;;K4;7
3405082;2013-01-19;YO12;ZV4;9999-12-31;KZ10;G0;PLN;1054360446;M;SPRINGFIELD-INSURANCE;;;;;;;EUR;C;;;27;140;1;2013-05-06;;;70;;K4;3
3405083;2013-01-19;YO01;ZV4;9999-12-31;KZ10;G0;UAH;1054360446;;UNIONVILLE-GYMNASIUM;;;;;;;PLN;L;;;;NL11;1;2013-05-06;;;70;;K4;8
3405084;2013-01-19;ZDMS;ZV7;9999-12-31;RO60;G0;UAH;1054360446;KZ;NASHVILLE-CAFE;;;;;;;UAH;H;;PLOU;22;RU11;1;2013-01-27;;;70;;K4;6
3405085;2013-01-19;ZSAN;ZV7;9999-12-31;RU11;G0;UAH;1067375151;KZ;SUNSWEET-ACCOUNTING;;;;;;;UAH;C;;;;GE10;1;2013-10-18;;;70;;K4;6
3405086;2013-01-19;YI04;B01;9999-12-31;RU11;G0;UAH;1067375151;;HOLT-DEVELOPMENT;103;;;;;;UAH;H;;;26;SE10;1;2013-10-18;;;70;;K4;3
3405087;2013-01-19;YQ02;B01;9999-12-31;RU11;G0;UAH;1067375151;M;SYCAMORE-REALTY;;;;;;;UAH;B;;GB01;;SE10;1;2013-10-18;;;70;;K4;4
3405088;2013-01-19;ZWE;B02;9999-12-31;10;G0;UAH;1067375151;;WOODSTOCK-FURNISHINGS;;;;;;;UAH;C;;;;SE10;1;2013-10-18;;;60;;K4;5
3405089;2013-01-31;YO13;B02;9999-12-31;10;G0;GEL;1067375151;;REGISTER-DEVELOPMENT;;;;;;;UAH;B;;;;RO10;1;2013-10-18;;;60;;K4;4
3405090;2013-01-31;YO11;B02;9999-12-31;RO60;G0;SEK;1067375151;KZ;GRIFFIN-SOFTWARE;;1;ROZ;;;;GEL;B;;PLOU;23;140;1;2013-10-18;;;60;;K4;4
3405091;2013-01-31;ZSIS;B01;9999-12-31;RO60;G0;SEK;1067375151;;ROCKMART-MOTORSERVICES;;;;;;;SEK;B;;PLLK;20;KZ10;1;2013-10-18;;;60;;K4;8
3405092;2013-01-31;ZSAN;B01;9999-12-31;RO60;G0;SEK;1067375151;;FORTGAINES-MOTORS;;;;;;ZG;SEK;C;;;21;KZ10;1;2013-10-18;;;60;;K4;2
3405093;2013-01-31;ZSAN;B01;9999-12-31;RO60;G0;SEK;1067375151;;PERRY-OFFICESUPPLIES;;;;;;;SEK;G;;PLA9;;KZ10;1;2013-10-18;;;60;;K4;3
3405094;2013-01-31;ZSAR;ZV4;9999-12-31;RO60;G0;SEK;1067375151;;IRWINVILLE-INSURANCE;104;;;;;;SEK;B;;;;RU11;1;2013-09-21;;;60;;K4;1
3405095;2013-10-07;YO11;ZV4;9999-12-31;PL10;G0;EUR;1067375151;;BROOKFIELD-SOFTWARE;;;;;;;SEK;B;;PLA9;;RU11;1;2013-09-21;;;60;;K4;1
3405096;2013-10-07;YO11;ZV4;9999-12-31;PL10;G0;EUR;1067375151;M;REMERTON-REALTY;;;;;;;EUR;G;;;24;140;1;2013-09-21;;;60;;K4;7
3405097;2013-10-07;ZWEN;ZV4;9999-12-31;BE10;G0;EUR;1067375151;;DOVERBLUFF-DEVELOPMENT;;;ROZ;;;;EUR;G;;;;140;1;2013-08-26;;;60;;K4;6
3405098;2013-08-19;ZWEN;ZV4;9999-12-31;140;G0;EUR;1067375151;;DAKOTA-INDUSTRIES;103;;;;;;EUR;C;;;;PL10;1;2013-03-27;;;60;;K4;6
3405099;2013-02-07;ZWEN;ZV7;9999-12-31;140;G0;EUR;1067375151;M;AVONDALEESTATES-MOTORS;;;;;;;EUR;L;;DE09;29;PL10;1;2013-03-27;;;60;;K4;5
3405100;2013-02-07;ZWEN;ZV7;9999-12-31;140;G0;KZT;1067375151;;SUNSWEET-FURNISHINGS;103;;;;;;EUR;B;;PLO9;;RO30;1;2013-03-27;;;60;;K4;2
3405101;2013-02-07;ZPL2;B02;9999-12-31;140;G0;KZT;1067375151;;GREENVILLE-SOFTWARE;;;;;;;KZT;L;;;28;RO30;1;2013-03-27;;;60;;K4;5
3405102;2013-02-07;ZPL2;ZV6;9999-12-31;140;G0;KZT;1067375151;;NEWNAN-REALTY;;;;;;;KZT;G;;PLF4;211;10;1;2013-03-27;;;60;;K4;3
3405103;2013-05-14;ZRO1;ZV4;9999-12-31;140;G0;KZT;1067375151;;RENTZ-INDUSTRIES;;;;;;;SEK;C;;;;SE10;1;2013-03-27;;;60;;K4;4
3405104;2013-05-14;YO11;ZV4;9999-12-31;140;G0;KZT;1076383360;;KENNESAW-ACCOUNTING;104;;;;;ZG;SEK;H;;PLF4;21;RO30;1;2013-03-27;;;60;;K4;3
3405105;2013-05-14;YO11;ZV6;9999-12-31;RO60;G0;KZT;1076383360;;SANDYSPRINGS-MEDICALSUPPLIES;;;;;;;KZT;L;;DE04;;KZ10;1;2013-03-27;;;50;;K4;2
3405106;2013-05-14;YO11;ZV6;9999-12-31;RU10;G0;KZT;1076383360;;CLAXTON-CAFE;;;;;;;KZT;C;;PLF3;;KZ10;1;2013-09-16;;;60;;K4;7
3405107;2013-05-14;YQ02;ZV7;9999-12-31;RU10;G0;KZT;1076383360;M;NASHVILLE-TRAVEL;;;;;;;KZT;L;;PLLK;22;KZ10;1;2013-01-19;;;60;;K4;4
3405108;2013-05-14;YQ02;ZV7;9999-12-31;GB30;G0;KZT;1076383360;M;TALBOTTON-INDUSTRIES;;;;;;;KZT;L;;PLH4;;140;1;2013-01-19;;;60;;K4;5
3405109;2013-05-14;YQ02;ZV4;9999-12-31;BE10;G0;KZT;1053309962;;WESTGREEN-STUDIOS;103;;;;;;KZT;B;;PLH4;;BE10;1;2013-01-19;;;80;;K4;5
3405110;2013-05-16;YQ02;ZV4;9999-12-31;BE10;G0;KZT;1053309962;;SASSER-SIGNS;;;;;;;KZT;G;;;;RO10;1;2013-01-19;;;80;;K4;4
3405111;2013-05-16;YO13;B01;9999-12-31;BE10;G0;KZT;1036555753;M;EASTMAN-DEVELOPMENT;;2;;;;;KZT;B;;;29;RO10;1;2013-01-19;;;80;;K4;1
3405112;2013-05-16;ZSAN;B02;9999-12-31;BE10;G0;KZT;1030055027;;EATONTON-SIGNS;;;;;;ZG;KZT;H;;PLD7;;RO10;1;2013-01-19;;;80;;K4;8
3405113;2013-05-16;ZWEN;B02;9999-12-31;BE10;G0;KZT;1039872145;M;COVERDALE-FURNISHINGS;102;;;;;;KZT;G;;PLA9;211;RO10;1;2013-05-13;;;80;;K4;2
3405114;2013-05-16;YO11;ZV4;9999-12-31;GE10;G0;KZT;1039872145;;LAGRANGE-LANDSCAPING;;;;;;;KZT;G;;GB02;21;RO10;1;2013-05-13;;;50;;K4;3
3405115;2013-05-16;YO11;ZV4;9999-12-31;GE10;G0;KZT;1039872145;M;MOULTRIE-INSURANCE;;;;;;;KZT;L;;PLLU;;KZ10;1;2013-01-10;;;50;;K4;7
3405116;2013-05-16;YC01;ZV4;9999-12-31;GE10;G0;KZT;1068384915;;VILLARICA-DEVELOPMENT;;;;;;ZG;KZT;G;;PLA9;;KZ10;1;2013-02-14;;;50;;K4;4
3405117;2013-05-16;ZWEN;B02;9999-12-31;GE10;G0;KZT;1068384915;;DUBLIN-CAFE;;;;;;;KZT;H;;DE04;27;NL11;1;2013-02-14;;;50;;K4;1
3405118;2013-05-16;YO13;B01;9999-12-31;GE10;G0;KZT;1068384915;KZ;RIVERSIDE-TEXTILES;;;;;;;KZT;H;;;22;NL11;1;2013-03-24;;;70;;K4;3
3405119;2013-05-29;YO13;B01;9999-12-31;GE10;G0;KZT;1068384915;;WHITEOAK-CAFE;;;;;;ZG;KZT;L;;PLA6;;NL11;1;2013-03-24;;;70;;K4;7
3405120;2013-05-29;YO13;B02;9999-12-31;140;G0;KZT;1046430082;;GREENSBORO-CAFE;103;;;;;;KZT;L;;GB10;;KZ10;1;2013-03-24;;;70;;K4;8
3405121;2013-06-07;ZSIN;B02;9999-12-31;BE10;G0;KZT;1070669418;;DOCKJUNCTION-DEVELOPMENT;;1;;;;;KZT;B;;DE03;29;KZ10;1;2013-03-24;;;70;;K4;6
3405122;2013-06-07;ZSIN;B02;9999-12-31;RO30;G0;KZT;1070669418;KZ;MANASSAS-GYMNASIUM;;;;;;;KZT;L;;PLA6;;KZ10;1;2013-03-04;;;70;;K4;4
3405123;2013-06-07;YO12;B01;9999-12-31;UA10;G0;KZT;1052009961;;KELLER-SIGNS;;;;;;;KZT;B;;PLO9;211;KZ10;1;2013-03-04;;;70;;K4;3
3405124;2013-06-07;YO12;B01;9999-12-31;140;G0;KZT;1052009961;;HOBOKEN-DEVELOPMENT;;;DEW;;;;RON;H;;GB03;;KZ10;1;2013-03-04;;;70;;K4;2
3405125;2013-06-10;YP01;B01;9999-12-31;KZ10;G0;KZT;1052009961;;ELLABELLE-INDUSTRIES;103;;;;;;KZT;G;;;;NL11;1;2013-03-04;;;10;;K4;2
3405126;2013-05-03;YO12;B01;9999-12-31;GE10;G0;KZT;1052009961;;VILLARICA-PROSERVICES;;;;;;;KZT;L;;PLA9;;NL11;1;2013-03-04;;;10;;K4;3
3405127;2013-05-03;ZRO1;B01;9999-12-31;RO60;G0;KZT;1052009961;;LAFAYETTE-BAKERY;;;;;;ZG;KZT;L;;PLP4;28;GB30;1;2013-08-06;;;10;;K4;6
3405128;2013-05-03;ZRO1;ZV4;9999-12-31;UA10;G0;KZT;1058714634;;WAYNESVILLE-MOTORSERVICES;;;;;;;KZT;H;;;211;GB30;1;2013-08-06;;;10;;K4;4
3405129;2013-05-03;ZRO1;ZV4;9999-12-31;GB10;G0;KZT;1058714634;KZ;BLAIRSVILLE-MEDICALSUPPLIES;;;;;;;KZT;G;;;26;GB30;1;2013-08-06;;;10;;K4;5
3405130;2013-05-03;ZSAS;ZV6;9999-12-31;GB10;G0;KZT;1058714634;;EDISON-TEXTILES;102;;;;;;KZT;B;;;;GB30;1;2013-08-06;;;10;;K4;5
3405131;2013-09-16;ZPL3;B02;9999-12-31;GB10;G0;KZT;1058714634;;GROOVERVILLE-MOTORS;;;;;;;KZT;B;;PLOU;;GB30;1;2013-08-06;;;10;;K4;4
