BILL_NUM;BILL_ITEM;BILL_TYPE;BILL_CAT;BILL_DATE;BILL_RULE;BILL_QTY;BASE_UOM;BATCH;BILLTOPRTY;COMP_CODE;COST;COSTCENTER;CO_AREA;CREATEDON;BIL_I_CNT;BWAPPLNM;CH_ON;DISTR_CHAN;DIVISION;DIV_HEAD;CSHDSC_BAS;GN_CUSTOM;CUST_GROUP;CUST_GRP1;CUST_GRP2;CUST_GRP3;CUST_GRP4;CUST_GRP5;DENOMINTR;DOC_CATEG;DOC_CURRCY;EANUPC;EXCHG_RATE;EXCHG_STAT;EXRATEXACC;EXRATE_ACC;FISCVARNT;GN_R3_SSY;GROSS_VAL;GRS_WGT_DL;INV_QTY;ITEM_CATEG;ITM_TYPE;LOC_CURRCY;MATERIAL;MATL_GROUP;MATL_GRP_1;MATL_GRP_2;MATL_GRP_3;MATL_GRP_4;MATL_GRP_5;MAT_ENTRD;NETVAL_INV;NET_WGT_DL;NO_INV_IT;NUMERATOR;PAYER;PLANT;PRICE_DATE;PROCESSKEY;PROD_HIER;PROV_GROUP;RATE_TYPE;REBATE_BAS;REBATE_GRP;RECORDMODE;REFER_DOC;REFER_ITM;REQ_QTY;RT_PROMO;SALESDEAL;SALESEMPLY;SALESORG;SALES_DIST;SALES_GRP;SALES_OFF;SALES_UNIT;SCALE_QTY;SERV_DATE;SHIP_POINT;SHIP_TO;SOLD_TO;STAT_CURR;STAT_DATE;STOR_LOC;ST_UP_DTE;SUBTOTAL_1;SUBTOTAL_2;SUBTOTAL_3;SUBTOTAL_4;SUBTOTAL_5;SUBTOTAL_6;TAX_AMOUNT;TRANS_DATE;UNIT_OF_WT;VOLUMEUNIT;VOLUME_DL;WBS_ELEMT
140503;30;M;I;2013-11-20;B;12;STD;1;2418529;NL11;800;5;C05;2013-02-28;4;;2013-09-07;1;S3;S0;;JESUP-FURNISHINGS;CCROUP10;102;;;;;1;B;PLN;;19,61;1;;;K4;;80.922,08;32.049,82;3258;ZTAL;;GEL;586;;560;;;803;;9591;1.229.062,45;25.350,00;1;3,47;22711730;100;2013-03-05;1;188622513;G1;KZ;340.032,67;B1;;3405004;40;533;;;;SE10;1;;OF1;;636;2013-09-10;SP9;1011087854;;RUB;2013-07-23;LO9;2013-08-29;258.909,21;370.621,90;191.168,07;215.752,18;14.592,75;22611.42;210.344,94;2013-05-09;SD;;;
140503;40;KZ;I;2013-11-20;C;13;TO;1;2418529;RU10;800;5;C05;2013-02-28;8;;2013-09-07;1;S6;S0;;JESUP-FURNISHINGS;CCROUP2;;;;;;1;B;PLN;;21,48;1;;;K4;;183.977,97;7.987,98;5394;Y024;;GEL;586;;560;B12;;803;;5082;2.591.261,70;252.510,53;4;6,83;22711730;100;2013-03-05;1;188622513;G1;KZ;174.593,12;B1;;3405004;80;422;;;;SE10;1;;OF1;;783;2013-09-10;SP2;1027528361;;RUB;2013-07-23;LO9;2013-08-29;365.815,90;96.562,37;110.648,70;246.262,27;122.958,36;130058.37;295.261,74;2013-05-14;SD;;;
140504;10;KZ;I;2013-11-20;C;3;TO;1;2418529;RU11;200;5;C05;2013-07-24;3;;2013-06-27;1;S6;S0;;CHAUNCEY-REALTY;CCROUP1;;;DED;;;1;H;PLN;;11,90;1;;;K4;;286.318,35;20.799,72;3825;Y024;;GEL;586;;560;;;;;1101;3.246.584,82;31.488,93;4;4,48;22711730;100;2013-03-05;1;188622513;G1;KZ;264.763,31;B1;;3405005;10;391;;;;SE10;1;20;OF1;;386;2013-09-10;SP2;1020780396;KZ;RUB;2013-07-23;LO9;2013-08-29;315.645,85;131.663,24;388.654,84;335.469,70;361.316,56;324832.79;51.607,00;2013-07-23;SD;;;
140504;20;KZ;I;2013-08-25;B;1;STD;1;2418529;GE10;600;5;C05;2013-07-24;5;;2013-06-27;1;S6;S0;;CHAUNCEY-REALTY;CCROUP9;;;;;;1;H;PLN;;6,30;1;;;K4;;122.747,78;17.667,64;5381;Y024;;GEL;586;;560;B13;R01;;;6978;2.414.975,06;44.323,87;3;4,40;22711730;100;2013-03-05;1;188622513;G1;M;343.319,51;B1;;3405005;20;803;;;;SE10;1;20;OF1;;105;2013-07-11;SP2;1014922282;KZ;RUB;2013-07-23;LO9;2013-08-29;13.088,17;333.460,21;328.555,26;188.567,60;300.323,20;157035.27;309.861,75;2013-10-27;SD;;;
140505;10;KZ;I;2013-08-25;B;4;ST;1;2418814;140;700;5;C05;2013-07-24;3;;2013-06-27;9;S6;S0;;MONTICELLO-DEVELOPMENT;CCROUP10;;;;;;1;L;GBP;;19,17;1;;;K4;;120.771,70;5.746,09;8147;ZTQ2;;GEL;586;;560;;;;;610;1.967.405,06;287.943,32;4;7,58;27309565;100;2013-03-05;1;168831452;G1;M;346.942,65;B1;;3405006;20;38;;;;10;1;212;OF8;;200;2013-07-11;SP2;1023039354;;RUB;2013-07-23;LO9;2013-08-29;97.450,70;141.391,24;108.838,05;199.990,93;303.267,66;141976.48;140.309,14;2013-02-12;SD;;;
140505;20;M;I;2013-08-25;C;1;MIN;1;2418814;140;300;19;C02;2013-01-13;12;;2013-06-27;1;S6;S0;;MONTICELLO-DEVELOPMENT;CCROUP6;103;3;;;;1;L;GBP;;18,12;1;;;K4;;208.339,33;28.384,14;9509;ZPL1;;GEL;586;;560;;;;;4265;1.787.560,20;31.034,17;1;7,60;27309565;100;2013-02-26;1;168831452;G1;KZ;298.411,99;B1;;3405006;40;204;;;;10;1;212;OF8;;168;2013-07-11;SP2;1023039354;;RUB;2013-07-23;LO9;2013-08-29;229.929,64;182.125,97;146.354,55;205.131,01;397.296,39;394584.84;192.816,61;2013-10-18;SD;;;
140505;30;M;I;2013-08-25;B;2;TO;1;2418814;SE10;500;19;C02;2013-01-13;10;;2013-06-27;9;S6;S0;;MONTICELLO-DEVELOPMENT;CCROUP10;106;;;;;1;L;GBP;;14,02;1;;;K4;;291.673,24;28.119,42;4213;ZPL1;;GEL;586;;217;;;;;5317;3.669.923,05;301.949,14;9;2,26;27309565;100;2013-02-26;1;168831452;G1;KZ;15.882,52;B1;;3405006;50;102;;;;10;1;212;OF7;;886;2013-07-11;SP2;1017070131;;RUB;2013-07-23;LO9;2013-08-29;109.817,11;241.373,29;369.144,60;106.970,02;198.574,88;46040.78;184.585,66;2013-03-04;SD;;;
140505;40;M;I;2013-08-25;H;12;MIN;1;2418814;KZ10;100;11;C02;2013-01-13;4;;2013-06-27;1;S6;S0;;MONTICELLO-DEVELOPMENT;CCROUP11;104;;RO3;;;1;L;GBP;;6,81;1;;;K4;;222.659,94;20.731,39;3118;ZSAC;;GEL;586;;129;;;;;7;3.057.481,92;381.026,75;8;3,79;17671391;100;2013-02-26;1;168831452;G1;M;141.914,30;B1;;3405006;60;465;;;;10;1;212;OF7;;685;2013-07-11;SP2;1017070131;;RUB;2013-07-23;LO9;2013-08-29;349.933,41;313.949,06;30.646,57;371.912,27;76.474,69;73383.74;338.057,27;2013-07-12;SD;;;
140505;50;M;I;2013-08-25;L;4;M3;1;2418814;GE10;700;11;C02;2013-01-13;10;;2013-06-27;1;S6;S0;;MONTICELLO-DEVELOPMENT;CCROUP1;102;;;;;1;L;GBP;;11,61;1;;;K4;;296.000,31;35.498,48;9677;Y056;;RON;515;;129;;;;B01;9100;708.944,73;344.776,12;5;7,35;18498423;100;2013-02-26;1;168831452;G1;M;101.088,69;B1;;3405006;70;128;;;;10;1;212;OF7;;455;2013-07-11;SP2;1017070131;;RUB;2013-07-23;LO9;2013-10-28;162.430,65;189.909,39;237.889,90;309.980,42;385.980,77;280407.96;328.554,07;2013-05-24;SD;;;
140506;10;M;I;2013-08-25;H;12;TO;1;2418814;140;300;11;C02;2013-01-13;4;;2013-06-27;1;S6;S0;;OMEGA-TEXTILES;CCROUP8;;;;;;1;L;RUB;;20,06;1;;;K4;;41.643,52;15.445,65;4628;Y056;;RON;515;;565;;;;;7927;2.458.004,78;249.356,91;1;6,05;18498423;100;2013-02-26;1;168831452;G1;M;258.339,66;B1;;3405007;10;142;;;;10;1;;OF7;;702;2013-07-11;SP2;1017070131;;RUB;2013-07-23;LO9;2013-10-28;47.881,80;16.695,59;274.003,77;108.314,66;176.134,41;124813.12;90.258,05;2013-07-06;SD;;;
140507;10;KZ;I;2013-08-25;G;8;M3;1;2418769;KZ10;400;11;C02;2013-01-13;9;;2013-06-27;1;S6;S0;;SENOIA-INDUSTRIES;CCROUP6;;;;;;1;L;RUB;;1,99;1;;;K4;;121.997,46;8.245,90;9341;Y057;;RON;515;;702;;;;;8840;3.291.586,14;354.690,23;9;7,88;18498423;100;2013-02-26;1;168831452;G1;M;289.204,89;B1;;3405008;10;419;;;;10;1;21;OF7;;41;2013-07-11;SP2;1017070131;;RUB;2013-07-23;LO11;2013-10-28;274.208,32;299.250,50;78.619,44;371.069,30;6.591,30;272784.16;71.589,86;2013-11-30;SD;;;
140507;20;KZ;I;2013-08-25;G;5;M3;1;2418769;10;500;11;C05;2013-01-13;7;;2013-06-27;1;S6;S0;;SENOIA-INDUSTRIES;CCROUP10;;;RO3;;;1;B;RUB;;1,99;1;;;K4;;285.173,39;30.503,36;43;Y057;;RON;515;;702;;;;;6203;3.935.840,43;201.245,27;2;7,98;18498423;105;2013-02-26;1;155038733;G1;M;109.268,02;B1;;3405008;30;73;;;;10;1;21;OF7;;262;2013-05-15;SP2;1017070131;;RUB;2013-07-23;LO2;2013-10-28;379.358,53;238.454,16;100.854,86;12.533,71;94.732,92;194408.65;267.006,89;2013-03-26;SD;;;
140507;30;KZ;I;2013-08-25;L;5;TO;1;2418149;GB10;800;11;C05;2013-01-13;1;;2013-06-27;1;S4;S0;;SENOIA-INDUSTRIES;CCROUP4;103;;;;;1;G;RUB;;12,28;1;;;K4;;216.849,34;23.625,52;3087;Y057;;RON;515;;702;;;;;5280;469.483,81;211.301,17;7;5,27;18498423;105;2013-02-26;1;155038733;G1;M;11.322,87;B1;;3405008;40;774;;;;10;1;21;OF7;;336;2013-05-15;SP2;1029423174;;RUB;2013-03-21;LO15;2013-10-28;264.296,82;108.458,16;50.332,45;106.183,23;344.459,58;256061.48;107.844,06;2013-07-20;SD;;;
140507;40;M;I;2013-08-25;G;5;M3;1;2418252;KZ10;400;11;C05;2013-07-09;2;;2013-06-27;1;S4;S0;;SENOIA-INDUSTRIES;CCROUP6;;;;;;1;C;RUB;;22,25;1;;;K4;;105.815,99;31.507,83;1932;ZWEN;;RON;515;;702;;;;;3734;1.617.790,13;247.059,71;1;6,07;18498423;105;2013-02-26;1;155038733;G1;KZ;362.268,57;B1;;3405008;50;18;;;;10;1;21;OF7;;874;2013-05-15;SP2;1029229918;;KZT;2013-03-21;LO15;2013-10-28;345.505,97;91.051,44;108.614,08;384.846,38;253.829,22;381179.15;346.770,32;2013-02-13;SD;;;
140507;50;M;I;2013-08-25;H;5;ST;1;2418252;RO30;700;1;C03;2013-07-08;3;;2013-06-27;1;S4;S0;;SENOIA-INDUSTRIES;CCROUP9;;;;;;1;G;RUB;;4,73;1;;;K4;;69.724,04;17.101,84;3833;ZWEN;;RON;515;;702;;;A02;;7857;282.233,30;226.729,59;5;7,28;20836105;107;2013-02-26;1;155038733;G1;KZ;211.521,98;B1;;3405008;70;289;;;;10;1;21;OF7;;333;2013-05-15;SP4;1019876186;;GBP;2013-02-25;LO9;2013-10-28;34.572,23;224.075,67;215.469,21;346.871,37;237.168,53;392652.09;135.645,78;2013-10-03;SD;;;
140507;60;M;I;2013-04-21;L;12;M3;1;2418252;NL11;400;1;C03;2013-07-08;2;;2013-06-27;1;S4;S0;;SENOIA-INDUSTRIES;CCROUP2;103;;DED;;;1;B;RUB;;17,74;1;;;K4;;17.685,32;19.297,25;9902;ZWEN;;RON;515;;702;B13;;A02;;2099;1.162.148,21;203.628,67;8;4,53;20836105;107;2013-02-26;1;155038733;G1;KZ;333.696,77;B1;;3405008;80;138;;;;10;1;21;OF7;;905;2013-05-15;SP12;1019876186;;GBP;2013-02-25;LO9;2013-10-28;7.147,91;336.040,16;391.162,65;162.517,92;184.144,87;330700.1;160.485,06;2013-01-17;SD;;;
140507;70;M;I;2013-01-28;H;3;TO;1;2418252;PL10;600;14;C03;2013-03-16;3;;2013-06-27;1;S4;S0;;SENOIA-INDUSTRIES;CCROUP10;;;DED;;;1;B;RUB;;6,35;1;;;K4;;289.902,02;28.063,26;1163;ZWEN;;RON;515;;317;;;A02;;3988;3.676.651,49;144.449,43;7;4,62;20836105;107;2013-02-26;1;155038733;G1;KZ;158.639,32;B1;;3405008;90;92;;;;10;1;21;OF7;;910;2013-05-15;SP12;1019876186;;GBP;2013-02-25;LO9;2013-10-28;71.101,63;304.865,09;69.387,91;214.638,83;322.964,98;352607.77;162.701,11;2013-05-20;SD;;;
140508;10;KZ;I;2013-01-28;G;7;STD;1;2418956;RO10;300;14;C03;2013-03-16;3;;2013-03-08;1;S4;S0;;KENNESAW-INSURANCE;CCROUP4;102;;DEW;;;1;B;RUB;;14,77;1;;;K4;;216.137,98;16.919,80;8168;ZWEN;;RON;515;;317;;;;;602;1.774.344,62;29.331,00;4;9,25;20836105;107;2013-02-26;1;155038733;G1;KZ;214.378,93;B1;;3405009;10;801;;;;10;1;;OF2;;94;2013-05-15;SP13;1024069618;M;GEL;2013-02-25;LO9;2013-10-28;375.735,90;272.552,47;179.483,56;23.444,34;222.297,60;55081.76;172.755,31;2013-08-03;SD;;;
140508;20;KZ;I;2013-01-28;L;8;TO;1;2418956;SE10;700;14;C03;2013-03-16;6;;2013-03-08;1;S4;S0;;KENNESAW-INSURANCE;CCROUP1;102;;;;;1;B;RUB;;14,26;1;;;K4;;96.832,03;27.463,99;6204;ZWEN;;RON;515;;422;B12;;;;2389;3.980.833,11;336.096,87;7;4,18;20836105;107;2013-02-26;1;155038733;G1;M;120.976,42;B1;;3405009;20;46;;;;10;1;;OF11;;566;2013-05-15;SP13;1024069618;M;GEL;2013-04-27;LO4;2013-02-28;41.967,72;209.763,71;327.331,47;119.057,30;252.078,54;168361.88;123.123,75;2013-03-06;SD;;;
140508;30;M;I;2013-01-28;C;14;STD;1;2418035;RO30;400;14;C03;2013-03-16;3;;2013-01-30;1;S4;S0;;KENNESAW-INSURANCE;CCROUP1;;;;;;1;B;RUB;;4,88;1;;;K4;;120.750,02;9.022,57;4409;ZSAC;;RON;656;;422;;;;;3000;3.312.289,06;7.990,56;9;8,66;19462427;107;2013-02-26;1;155038733;G1;M;89.193,56;B1;;3405009;30;824;;;;10;1;;OF3;;95;2013-07-07;SP13;1028163308;M;GEL;2013-10-28;LO17;2013-02-28;92.119,90;243.383,26;219.874,37;203.060,53;165.175,97;140848.94;314.032,90;2013-03-09;SD;;;
140509;10;KZ;I;2013-09-23;G;1;ST;1;2418035;PL10;100;18;C03;2013-04-10;2;;2013-01-30;9;S4;S0;;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;CCROUP3;;;;;;1;B;RUB;;8,32;1;;;K4;;124.197,34;30.064,90;9430;ZSAR;;RON;656;;422;;;;;3508;582.195,77;112.423,15;3;2,18;19462427;107;2013-02-26;1;135026320;G1;M;311.518,14;B1;;3405010;10;711;;;;10;1;22;OF3;;611;2013-07-07;SP13;1028039438;;GEL;2013-03-16;LO17;2013-07-24;28.223,77;392.854,72;169.832,95;147.591,97;256.218,52;44396.43;326.855,33;2013-07-10;SD;;;
140509;20;KZ;I;2013-09-23;C;9;TO;1;2418035;BE10;600;18;C03;2013-04-10;13;;2013-01-30;1;S4;S0;;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;CCROUP8;102;;;;;1;G;RUB;;6,96;1;;;K4;;287.340,24;31.082,70;4208;Y070;;RON;656;;723;;;;;9530;318.458,38;158.064,91;7;6,91;19462427;107;2013-02-26;1;135026320;G1;M;72.041,32;B1;;3405010;20;260;;;;10;1;22;OF3;;565;2013-06-14;SP13;1028039438;;GEL;2013-03-16;LO17;2013-07-24;227.584,47;158.924,20;305.129,77;119.703,60;195.532,45;392203.32;352.418,27;2013-07-23;SD;;;
140509;30;M;I;2013-09-23;H;10;TO;1;2418035;RU11;300;18;C03;2013-07-06;7;;2013-01-30;9;S4;S0;;AUGUSTA-RICHMONDCOUNTY-OFFICESUPPLIES;CCROUP11;;;;;;1;G;RUB;;23,74;1;;;K4;;129.250,24;36.795,72;6217;ZTAL;;RON;210;;723;;;;;8773;1.983.483,31;56.255,94;9;7,81;19462427;107;2013-02-26;1;135026320;G1;M;374.139,56;B1;;3405010;40;952;;;;10;1;22;OF3;;455;2013-10-31;SP13;1028039438;;GEL;2013-03-16;LO17;2013-07-24;346.123,28;203.735,39;223.692,93;326.359,77;337.419,73;250830.77;120.810,92;2013-05-02;SD;;;
140510;10;M;I;2013-09-23;C;13;M3;1;2418035;KZ10;700;18;C03;2013-07-06;1;;2013-01-30;1;S4;S0;;OCHLOCKNEE-CAFE;CCROUP8;;;;;;1;G;RUB;;14,40;1;;;K4;;78.485,13;10.695,08;817;ZTAL;;RON;210;;723;;;;;315;772.140,63;232.922,98;4;3,01;19462427;107;2013-02-26;1;151412542;G1;M;48.655,03;B1;;3405011;10;82;;;;RO60;1;;OF3;;8;2013-10-31;SP13;1019286306;M;GEL;2013-03-16;LO17;2013-07-24;44.125,46;255.859,88;325.616,84;65.342,61;71.115,69;303755.99;366.824,93;2013-03-19;SD;;;
140510;20;KZ;I;2013-09-23;L;5;ST;1;2418035;NL11;800;18;C03;2013-07-06;2;;2013-01-30;9;S4;S0;;OCHLOCKNEE-CAFE;CCROUP9;;;;;;1;C;RUB;;14,07;1;;;K4;;73.465,23;24.095,98;1770;ZTAL;;RON;210;;723;;;;;3477;2.018.740,05;175.293,10;4;6,92;19462427;107;2013-02-26;1;151412542;G1;M;228.398,00;B1;;3405011;20;272;;;;RO60;1;;OF3;;946;2013-10-31;SP13;1019286306;M;GEL;2013-06-25;LO17;2013-07-24;145.642,18;44.868,80;326.772,98;274.867,77;174.087,93;167114.66;388.584,93;2013-11-14;SD;;;
140510;30;KZ;I;2013-09-23;L;13;TO;1;2418035;PL10;700;18;C03;2013-04-19;11;;2013-01-30;1;S4;S0;;OCHLOCKNEE-CAFE;CCROUP3;106;;;;;1;L;RUB;;14,74;1;;;K4;;284.021,49;38.127,14;8450;ZTAL;;RON;210;;723;;;;;7774;1.598.474,58;3.743,26;3;1,62;19462427;107;2013-02-26;1;151412542;G1;M;306.629,01;B1;;3405011;40;952;;;;RO60;1;;OF3;;418;2013-10-31;SP13;1023309412;M;GEL;2013-06-25;LO17;2013-07-24;266.039,05;224.981,06;75.890,21;336.762,95;223.719,69;346713.95;337.256,51;2013-03-01;SD;;;
140511;10;KZ;I;2013-09-23;H;7;STD;1;2418035;RU11;700;18;C02;2013-04-19;12;;2013-01-30;1;S4;S0;;PERRY-OFFICESUPPLIES;CCROUP9;104;;;;;1;H;RUB;;1,92;1;;;K4;;222.324,32;22.971,42;1895;ZLHA;;RON;210;;723;B12;;;;3603;88.555,28;232.486,73;8;6,35;19462427;102;2013-10-03;1;151412542;G1;M;27.480,17;B1;;3405012;10;756;;;;RO60;1;;OF3;;837;2013-10-31;SP13;1017301880;M;GEL;2013-06-25;LO17;2013-07-24;357.331,11;177.839,59;252.882,79;357.808,90;103.863,46;190277.29;96.242,71;2013-01-31;SD;;;
